raw,result
66467,
06914,1
21331,1
49701,1
22785,0
28587,2
97972,0
00555,2
48884,0
27313,0
45563,0
12476,0
05865,0
56399,0
96489,0
42218,8
29626,0
17970,0
06097,0
01352,4
63787,1
12900,0
97891,0
92241,0
81410,0
60615,0
97335,0
08036,0
44842,8
69647,0
91134,2
72124,1
15570,0
70939,2
04977,0
13701,2
50502,0
82406,0
40085,3
05338,1
59932,0
70336,0
53817,0
55895,4
73026,0
30854,0
30734,0
87202,0
00487,5
94957,0
78756,0
89737,0
03104,0
18412,5
05393,0
15248,0
00120,0
10939,0
66746,0
55796,0
24497,0
04071,8
71274,0
29102,0
11237,3
53072,1
88640,1
27532,0
19070,2
14154,1
05694,0
48688,0
74863,3
56455,0
77018,2
85945,1
11497,0
84011,0
38581,0
79394,0
67945,5
50076,0
41119,2
48013,1
11029,1
84696,0
02505,0
73128,0
88096,0
39181,5
47494,0
95953,0
57796,0
97110,0
04941,5
52451,0
09941,0
44279,3
08434,0
36904,0
10455,3
68816,0
16835,0
07900,0
07810,0
44138,0
20494,6
11683,0
57609,2
01615,0
55082,0
05797,0
52201,4
73304,0
49282,2
46565,0
56046,0
56867,0
18142,4
62947,1
31977,0
52493,0
60415,0
45308,0
14841,0
75858,0
70023,0
63301,0
13841,0
65855,0
83099,0
11293,0
70471,0
32272,14
24805,0
54755,0
15444,0
24425,0
86398,0
88320,6
89514,0
36113,2
97155,0
96074,0
36409,0
95844,0
62374,0
05020,0
65588,0
81780,0
66399,0
14106,10
37240,1
01294,1
63822,1
03421,0
46895,0
51187,0
40071,0
24016,0
79033,6
47985,0
58349,0
43311,3
32697,0
37443,2
81209,0
41603,2
09364,0
98131,0
44715,0
30621,0
52230,5
72684,1
05974,0
47611,0
20199,0
14679,0
84949,0
45403,0
43688,0
76679,0
11553,0
82556,0
90097,11
88739,0
60026,2
46498,0
09809,0
06505,0
25798,0
22818,0
54132,6
70453,1
11926,0
18187,2
63953,0
59487,0
53671,3
70189,0
44178,0
70230,0
38223,0
31332,0
50846,0
56378,0
74010,0
98406,0
66044,0
43150,0
84883,0
84039,0
72263,0
43890,0
87901,16
75100,1
17874,0
45525,2
13003,0
49017,0
84357,0
52996,0
24112,5
45969,0
78883,0
72388,0
90441,0
52639,0
27485,6
17570,0
87349,0
49656,0
82264,4
30757,0
40764,2
42734,0
84175,0
20118,0
13761,4
72139,0
04466,2
52363,0
96542,0
69832,0
63640,4
17176,0
42140,0
10671,0
46224,4
77954,1
61325,0
04741,2
87419,0
55593,0
75371,3
22041,1
11517,0
94747,0
94775,0
29605,0
30816,0
50038,0
09712,0
45232,0
10495,0
63254,10
74528,0
93036,0
39445,3
84754,0
84159,0
84840,3
22062,0
60921,0
